master_project_en,project_name_en,growth_stage,property_type_en,median_price,price_per_sqm,transaction_count,earliest_transaction_year,developer_name
Dubai Land Residence Complex,Terra Tower,Off-Plan or Launch,Land,15500000.0,3930.7478311147856,2,2024.0,Unknown / Mixed
Dubai Land Residence Complex,Terra Tower,Off-Plan or Launch,Unit,592616.0,16232.530961885355,143,2024.0,Unknown / Mixed
Dubai Land Residence Complex,Time 1,Off-Plan or Launch,Unit,330000.0,9508.194222965503,279,2021.0,Unknown / Mixed
Dubai Land Residence Complex,Time 2,Early Growth,Unit,617595.0,9559.316663409294,193,2023.0,Unknown / Mixed
Dubai Land Residence Complex,Time 2,Maturity,Unit,684825.0,10134.38779057576,26,2024.0,Unknown / Mixed
Dubai Land Residence Complex,Time 2,Off-Plan or Launch,Land,12722826.5,4547.783934402051,2,2014.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens,Early Growth,Unit,719873.0,10288.18818901838,131,2024.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens,Off-Plan or Launch,Land,10629846.0,3767.364861991239,1,2022.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens 2,Maturity,Land,12925000.0,3386.566401593061,1,2023.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens 2,Maturity,Unit,612582.0,13051.069988519464,174,2024.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens 2,Off-Plan or Launch,Land,13045962.0,3418.2604708440867,2,2018.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens 3,Maturity,Land,10575000.0,3411.862635022649,1,2023.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens 3,Maturity,Unit,673443.0,13221.389937100794,94,2024.0,Unknown / Mixed
Dubai Land Residence Complex,Weybridge Gardens 3,Off-Plan or Launch,Land,8000000.0,2581.078116329191,1,2019.0,Unknown / Mixed
Dubai Marina,23 MARINA,Early Growth,Unit,3168110.0,13856.766034738504,72,2014.0,Unknown / Mixed
Dubai Marina,23 MARINA,Maturity,Unit,2160641.5,10348.63012066079,110,2016.0,Unknown / Mixed
Dubai Marina,23 MARINA,Off-Plan or Launch,Building,65095000.0,18816.194154102304,2,2008.0,Unknown / Mixed
Dubai Marina,23 MARINA,Off-Plan or Launch,Unit,2467863.0,10414.955365827713,532,2009.0,Unknown / Mixed
Dubai Marina,23 MARINA,Stabilized / Legacy,Land,12347500.0,23545.05930361161,2,2021.0,Unknown / Mixed
Dubai Marina,23 MARINA,Stabilized / Legacy,Unit,2544000.0,11098.369413495133,188,2020.0,Unknown / Mixed
Dubai Marina,5242,Early Growth,Unit,2750000.0,25437.491299350364,137,2023.0,Unknown / Mixed
Dubai Marina,5242,Maturity,Unit,2480000.0,27393.2356192994,33,2025.0,Unknown / Mixed
Dubai Marina,5242,Off-Plan or Launch,Unit,2097888.0,20067.07697119689,540,2016.0,Unknown / Mixed
Dubai Marina,ALSEEF I,Maturity,Unit,1325000.0,4849.565966323827,126,2009.0,Unknown / Mixed
Dubai Marina,ALSEEF I,Off-Plan or Launch,Building,8962500.0,11631.656927528436,2,2003.0,Unknown / Mixed
Dubai Marina,ALSEEF I,Stabilized / Legacy,Unit,2600000.0,9846.757693367266,233,2011.0,Unknown / Mixed
Dubai Marina,Aba Lux Living,Off-Plan or Launch,Land,117900000.0,21308.782146168483,1,2015.0,Unknown / Mixed
Dubai Marina,Aba Lux Living,Stabilized / Legacy,Unit,2631990.0,22106.8925050835,244,2024.0,Unknown / Mixed
Dubai Marina,Aeternitas Tower,Maturity,Land,427800000.0,122214.60404525197,1,2012.0,Unknown / Mixed
Dubai Marina,Aeternitas Tower,Off-Plan or Launch,Land,87500000.0,24997.143183636155,1,2006.0,Unknown / Mixed
Dubai Marina,Aeternitas Tower,Stabilized / Legacy,Unit,3007500.0,23133.97707747328,448,2024.0,Unknown / Mixed
Dubai Marina,BAY CENTRAL WEST & CENTRAL TOWERS,Early Growth,Unit,1355000.0,20112.958811088392,163,2014.0,Unknown / Mixed
Dubai Marina,BAY CENTRAL WEST & CENTRAL TOWERS,Maturity,Unit,1150000.0,16722.621051044636,225,2016.0,Unknown / Mixed
Dubai Marina,BAY CENTRAL WEST & CENTRAL TOWERS,Off-Plan or Launch,Building,197333500.0,24455.756599330773,1,2010.0,Unknown / Mixed
Dubai Marina,BAY CENTRAL WEST & CENTRAL TOWERS,Off-Plan or Launch,Unit,1022662.0,15122.864134668853,1155,2009.0,Unknown / Mixed
Dubai Marina,BAY CENTRAL WEST & CENTRAL TOWERS,Stabilized / Legacy,Unit,1222500.0,16934.790881254947,372,2020.0,Unknown / Mixed
Dubai Marina,BAYSIDE RESIDENCE,Early Growth,Unit,2137000.0,11415.05976131074,6,2008.0,Unknown / Mixed
Dubai Marina,BAYSIDE RESIDENCE,Maturity,Unit,2083500.0,11212.981156212978,120,2010.0,Unknown / Mixed
Dubai Marina,BAYSIDE RESIDENCE,Off-Plan or Launch,Building,29797820.0,6885.81649111942,1,2006.0,Unknown / Mixed
Dubai Marina,BAYSIDE RESIDENCE,Off-Plan or Launch,Unit,2140000.0,9498.8681255271,1,2006.0,Unknown / Mixed
Dubai Marina,BAYSIDE RESIDENCE,Stabilized / Legacy,Unit,2150000.0,12627.370708650413,155,2014.0,Unknown / Mixed
Dubai Marina,BOTANICA,Early Growth,Land,56240543.0,878405.6087346695,3,2014.0,Unknown / Mixed
Dubai Marina,BOTANICA,Early Growth,Unit,1554180.0,20775.06333163541,73,2014.0,Unknown / Mixed
Dubai Marina,BOTANICA,Maturity,Unit,1300000.0,18517.794836858026,109,2016.0,Unknown / Mixed
Dubai Marina,BOTANICA,Off-Plan or Launch,Building,82800000.0,21566.3752080452,1,2008.0,Unknown / Mixed
Dubai Marina,BOTANICA,Off-Plan or Launch,Land,65599833.0,981152.153754113,2,2013.0,Unknown / Mixed
Dubai Marina,BOTANICA,Off-Plan or Launch,Unit,1266835.0,17294.099653709687,512,2009.0,Unknown / Mixed
Dubai Marina,BOTANICA,Stabilized / Legacy,Unit,1300000.0,15740.300837999896,191,2020.0,Unknown / Mixed
Dubai Marina,CAYAN TOWER,Maturity,Unit,1492155.0,13883.92235782355,259,2009.0,Unknown / Mixed
Dubai Marina,CAYAN TOWER,Off-Plan or Launch,Building,52500000.0,16609.035948281045,2,2004.0,Unknown / Mixed
Dubai Marina,CAYAN TOWER,Stabilized / Legacy,Land,4831005.5,44858.12748180836,2,2025.0,Unknown / Mixed
Dubai Marina,CAYAN TOWER,Stabilized / Legacy,Unit,1800030.0,16509.776204561942,1158,2012.0,Unknown / Mixed
Dubai Marina,Ciel,Maturity,Unit,1050000.0,59181.58448890538,251,2019.0,Unknown / Mixed
Dubai Marina,Ciel,Off-Plan or Launch,Building,238960400.0,65251.39603784662,1,2013.0,Unknown / Mixed
Dubai Marina,Ciel,Stabilized / Legacy,Unit,770196.0,76868.98205553908,1206,2021.0,Unknown / Mixed
Dubai Marina,Continental Tower,Early Growth,Unit,1200000.0,10198.017587383432,27,2019.0,Unknown / Mixed
Dubai Marina,Continental Tower,Maturity,Land,8400000.0,139978.9577204973,3,2021.0,Unknown / Mixed
Dubai Marina,Continental Tower,Maturity,Unit,1450000.0,13765.694489038737,75,2021.0,Unknown / Mixed
Dubai Marina,Continental Tower,Off-Plan or Launch,Building,69126460.0,17004.6099046532,2,2008.0,Unknown / Mixed
Dubai Marina,Continental Tower,Off-Plan or Launch,Land,31000000.0,460008.9033981303,1,2018.0,Unknown / Mixed
Dubai Marina,Continental Tower,Off-Plan or Launch,Unit,1700000.0,16493.424022117622,157,2013.0,Unknown / Mixed
Dubai Marina,Continental Tower,Stabilized / Legacy,Unit,3050000.0,23454.957096576432,6,2025.0,Unknown / Mixed
Dubai Marina,DAMAC HEIGHTS,Early Growth,Building,75000000.0,21647.8955359153,1,2006.0,Unknown / Mixed
Dubai Marina,DAMAC HEIGHTS,Maturity,Building,75000000.0,21647.8955359153,1,2009.0,Unknown / Mixed
Dubai Marina,DAMAC HEIGHTS,Maturity,Unit,2846500.0,27292.893109943,28,2009.0,Unknown / Mixed
Dubai Marina,DAMAC HEIGHTS,Off-Plan or Launch,Building,67500000.0,19483.105982323774,2,2004.0,Unknown / Mixed
Dubai Marina,DAMAC HEIGHTS,Stabilized / Legacy,Land,3484732.0,34598.23302578918,2,2021.0,Unknown / Mixed
Dubai Marina,DAMAC HEIGHTS,Stabilized / Legacy,Unit,2169600.0,19916.50298904651,891,2012.0,Unknown / Mixed
Dubai Marina,DM MARINA PLAZA,Early Growth,Unit,6586244.0,19421.92347664471,41,2015.0,Unknown / Mixed
Dubai Marina,DM MARINA PLAZA,Maturity,Land,28493000.0,84729.98691566552,1,2020.0,Unknown / Mixed
Dubai Marina,DM MARINA PLAZA,Maturity,Unit,6007888.0,16571.229417207272,61,2017.0,Unknown / Mixed
Dubai Marina,DM MARINA PLAZA,Off-Plan or Launch,Unit,9687888.0,24808.437342405112,158,2009.0,Unknown / Mixed
Dubai Marina,DM MARINA PLAZA,Stabilized / Legacy,Land,14045000.0,40821.36836598268,2,2024.0,Unknown / Mixed
Dubai Marina,DM MARINA PLAZA,Stabilized / Legacy,Unit,6300000.0,19064.894296859013,83,2021.0,Unknown / Mixed
Dubai Marina,DUBAI MARINA MALL,Early Growth,Unit,1813888.0,25706.448101920192,235,2012.0,Unknown / Mixed
Dubai Marina,DUBAI MARINA MALL,Maturity,Unit,2050000.0,27385.827724614013,217,2014.0,Unknown / Mixed
Dubai Marina,DUBAI MARINA MALL,Off-Plan or Launch,Unit,2157046.0,27761.578912508387,582,2009.0,Unknown / Mixed
Dubai Marina,DUBAI MARINA MALL,Stabilized / Legacy,Unit,1600000.0,21938.647171880635,319,2018.0,Unknown / Mixed
Dubai Marina,ELITE RESIDENCE,Early Growth,Building,100000000.0,28566.61305665616,1,2006.0,Unknown / Mixed
Dubai Marina,ELITE RESIDENCE,Maturity,Unit,1526513.5,21654.383918366955,412,2009.0,Unknown / Mixed
Dubai Marina,ELITE RESIDENCE,Off-Plan or Launch,Building,46250000.0,13212.058538703475,1,2004.0,Unknown / Mixed
Dubai Marina,ELITE RESIDENCE,Stabilized / Legacy,Land,2795000.0,40838.69082407949,1,2022.0,Unknown / Mixed
Dubai Marina,ELITE RESIDENCE,Stabilized / Legacy,Unit,1329993.5,14632.440180951266,1496,2012.0,Unknown / Mixed
Dubai Marina,ESCAN MARINA TOWER,Early Growth,Villa,110000000.0,33404.697915243174,1,2008.0,Unknown / Mixed
Dubai Marina,ESCAN MARINA TOWER,Maturity,Unit,565748.0,11720.227292069374,25,2011.0,Unknown / Mixed
Dubai Marina,ESCAN MARINA TOWER,Maturity,Villa,200566315.5,60907.79255682595,2,2010.0,Unknown / Mixed
Dubai Marina,ESCAN MARINA TOWER,Off-Plan or Launch,Villa,54859650.0,16659.727599872454,1,2006.0,Unknown / Mixed
Dubai Marina,ESCAN MARINA TOWER,Stabilized / Legacy,Unit,870370.0,12013.40536151686,650,2014.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Early Growth,Land,10110500.0,266695.3247263889,4,2022.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Early Growth,Unit,925000.0,12804.598039011817,56,2021.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Maturity,Land,7876707.5,168958.6061674515,12,2023.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Maturity,Unit,1442910.0,19097.952624325317,154,2023.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Off-Plan or Launch,Building,41979600.0,11830.771572059048,1,2008.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Off-Plan or Launch,Land,4589447.0,45485.97413737048,6,2017.0,Unknown / Mixed
Dubai Marina,HARBOUR RESIDENCES,Off-Plan or Launch,Unit,1061508.0,103797.07016819665,254,2009.0,Unknown / Mixed
Dubai Marina,JUMEIRAH LIVING MARINA GATE ,Early Growth,Unit,2530000.0,24839.914001229823,121,2022.0,Unknown / Mixed
Dubai Marina,JUMEIRAH LIVING MARINA GATE ,Maturity,Unit,3300000.0,28441.56330720808,113,2024.0,Unknown / Mixed
Dubai Marina,JUMEIRAH LIVING MARINA GATE ,Off-Plan or Launch,Building,480336000.0,41920.577306620486,2,2008.0,Unknown / Mixed
Dubai Marina,JUMEIRAH LIVING MARINA GATE ,Off-Plan or Launch,Unit,2378650.0,22826.66551850483,314,2017.0,Unknown / Mixed
Dubai Marina,LIV MARINA,Early Growth,Land,66562590.0,20451.40982035045,1,2021.0,Unknown / Mixed
Dubai Marina,LIV MARINA,Early Growth,Unit,2139548.0,25825.334016329,145,2022.0,Unknown / Mixed
Dubai Marina,LIV MARINA,Maturity,Unit,3169548.0,33427.41074839499,65,2023.0,Unknown / Mixed
Dubai Marina,LIV MARINA,Off-Plan or Launch,Land,65619476.5,20161.637431751915,2,2019.0,Unknown / Mixed
Dubai Marina,LIV RESIDENCE,Early Growth,Unit,2257000.0,22874.01964901229,66,2022.0,Unknown / Mixed
Dubai Marina,LIV RESIDENCE,Maturity,Unit,2350000.0,22632.436664450204,38,2024.0,Unknown / Mixed
Dubai Marina,LIV RESIDENCE,Off-Plan or Launch,Building,75139250.0,28731.52163106737,2,2009.0,Unknown / Mixed
Dubai Marina,LIV RESIDENCE,Off-Plan or Launch,Unit,1754548.0,17563.290467310024,155,2018.0,Unknown / Mixed
Dubai Marina,MAG218,Early Growth,Unit,1243748.0,9777.10107810566,326,2012.0,Unknown / Mixed
Dubai Marina,MAG218,Maturity,Unit,1376250.0,12895.607346526356,246,2014.0,Unknown / Mixed
Dubai Marina,MAG218,Off-Plan or Launch,Building,20000000.0,5835.991140965448,1,2008.0,Unknown / Mixed
Dubai Marina,MAG218,Off-Plan or Launch,Unit,743441.0,8764.803082113602,366,2009.0,Unknown / Mixed
Dubai Marina,MAG218,Stabilized / Legacy,Land,20000000.0,250312.89111389237,2,2022.0,Unknown / Mixed
Dubai Marina,MAG218,Stabilized / Legacy,Unit,1100000.0,11012.802675649476,367,2018.0,Unknown / Mixed
Dubai Marina,MARINA ARCADE,Early Growth,Unit,1431000.0,11131.200876714316,27,2019.0,Unknown / Mixed
Dubai Marina,MARINA ARCADE,Maturity,Unit,2000000.0,14493.267029616334,167,2021.0,Unknown / Mixed
Dubai Marina,MARINA ARCADE,Off-Plan or Launch,Unit,1675480.5,14358.694308668506,156,2016.0,Unknown / Mixed
Dubai Marina,MARINA ARCADE,Stabilized / Legacy,Unit,2350000.0,14961.00104256846,19,2025.0,Unknown / Mixed
Dubai Marina,MARINA PINNACLE,Early Growth,Unit,1061263.5,12030.123386947142,402,2009.0,Unknown / Mixed
Dubai Marina,MARINA PINNACLE,Maturity,Unit,1113040.0,12102.180899939667,703,2011.0,Unknown / Mixed
Dubai Marina,MARINA PINNACLE,Off-Plan or Launch,Building,25000000.0,7294.797350529603,2,2007.0,Unknown / Mixed
Dubai Marina,MARINA PINNACLE,Stabilized / Legacy,Land,32915675.0,1862347.0140236355,2,2022.0,Unknown / Mixed
Dubai Marina,MARINA PINNACLE,Stabilized / Legacy,Unit,940000.0,10277.47115794389,793,2015.0,Unknown / Mixed
Dubai Marina,MARINA QUAYS,Early Growth,Unit,1275000.0,13257.583247456643,155,2012.0,Unknown / Mixed
Dubai Marina,MARINA QUAYS,Maturity,Unit,1650000.0,16023.426408685906,185,2014.0,Unknown / Mixed
Dubai Marina,MARINA QUAYS,Off-Plan or Launch,Unit,1162944.0,11345.560425487229,444,2009.0,Unknown / Mixed
Dubai Marina,MARINA QUAYS,Stabilized / Legacy,Unit,1650000.0,15378.54231175541,354,2018.0,Unknown / Mixed
Dubai Marina,MARINA STAR,Early Growth,Unit,1812022.0,28018.974488235257,28,2025.0,Unknown / Mixed
Dubai Marina,MARINA STAR,Off-Plan or Launch,Building,62012173.0,24218.77484866237,1,2021.0,Unknown / Mixed
Dubai Marina,MARINA STAR,Off-Plan or Launch,Unit,1244295.0,20246.77260235663,198,2010.0,Unknown / Mixed
Dubai Marina,MARINA SUITES,Early Growth,Unit,506410.0,6018.017041192403,8,2020.0,Unknown / Mixed
Dubai Marina,MARINA SUITES,Maturity,Land,1977321.0,26308.155934007453,1,2023.0,Unknown / Mixed
Dubai Marina,MARINA SUITES,Maturity,Unit,1014965.0,9584.64943742254,102,2022.0,Unknown / Mixed
Dubai Marina,MARINA SUITES,Off-Plan or Launch,Land,7500000.0,60474.11707789067,1,2018.0,Unknown / Mixed
Dubai Marina,MARINA SUITES,Off-Plan or Launch,Unit,752000.0,6955.161830391209,83,2010.0,Unknown / Mixed
Dubai Marina,MARINA WHARF I,Early Growth,Unit,1312500.0,12410.79333563218,84,2013.0,Unknown / Mixed
Dubai Marina,MARINA WHARF I,Maturity,Unit,1275000.0,12038.40494867281,58,2015.0,Unknown / Mixed
Dubai Marina,MARINA WHARF I,Off-Plan or Launch,Unit,1250662.5,11655.482650228025,72,2009.0,Unknown / Mixed
Dubai Marina,MARINA WHARF I,Stabilized / Legacy,Land,4889261.0,8650.344119884645,1,2023.0,Unknown / Mixed
Dubai Marina,MARINA WHARF I,Stabilized / Legacy,Unit,1350000.0,11986.036259719143,72,2019.0,Unknown / Mixed
Dubai Marina,MARINA WHARF II,Early Growth,Unit,1100000.0,10638.983033504135,42,2021.0,Unknown / Mixed
Dubai Marina,MARINA WHARF II,Maturity,Unit,1450000.0,15327.9141406353,35,2023.0,Unknown / Mixed
Dubai Marina,MARINA WHARF II,Off-Plan or Launch,Building,59202000.0,13916.686060041891,1,2008.0,Unknown / Mixed
Dubai Marina,MARINA WHARF II,Off-Plan or Launch,Unit,1300000.0,12620.50982095925,191,2009.0,Unknown / Mixed
Dubai Marina,MARINASCAPE,Early Growth,Building,214000000.0,22645.04734825437,1,2009.0,Unknown / Mixed
Dubai Marina,MARINASCAPE,Early Growth,Unit,1929400.0,9701.671028033665,64,2009.0,Unknown / Mixed
Dubai Marina,MARINASCAPE,Maturity,Unit,1783000.0,9939.853072007274,317,2010.0,Unknown / Mixed
Dubai Marina,MARINASCAPE,Off-Plan or Launch,Building,139344043.5,14745.104966143535,2,2006.0,Unknown / Mixed
Dubai Marina,MARINASCAPE,Stabilized / Legacy,Unit,2337750.0,13752.1999379304,243,2014.0,Unknown / Mixed
Dubai Marina,MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Early Growth,Building,51500000.0,13744.108714565553,1,2012.0,Unknown / Mixed
Dubai Marina,MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Maturity,Building,51500000.0,13744.108714565553,1,2015.0,Unknown / Mixed
Dubai Marina,MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Off-Plan or Launch,Building,13000000.0,3469.386665812664,1,2009.0,Unknown / Mixed
Dubai Marina,MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Stabilized / Legacy,Building,263500000.0,70321.79895704899,2,2018.0,Unknown / Mixed
Dubai Marina,NO 9,Early Growth,Unit,1650000.0,17528.18923307437,55,2021.0,Unknown / Mixed
Dubai Marina,NO 9,Maturity,Unit,1950000.0,21926.12059393532,80,2023.0,Unknown / Mixed
Dubai Marina,NO 9,Off-Plan or Launch,Building,30381950.0,9289.809384612565,2,2011.0,Unknown / Mixed
Dubai Marina,NO 9,Off-Plan or Launch,Unit,1600000.0,19389.83753679815,201,2014.0,Unknown / Mixed
Dubai Marina,OCEAN HEIGHTS,Early Growth,Building,130000000.0,37404.6899726658,1,2007.0,Unknown / Mixed
Dubai Marina,OCEAN HEIGHTS,Maturity,Building,130000000.0,37404.6899726658,1,2009.0,Unknown / Mixed
Dubai Marina,OCEAN HEIGHTS,Maturity,Unit,1718500.0,17050.23272348174,716,2009.0,Unknown / Mixed
Dubai Marina,OCEAN HEIGHTS,Off-Plan or Launch,Building,55000000.0,13427.32460557234,3,2004.0,Unknown / Mixed
Dubai Marina,OCEAN HEIGHTS,Stabilized / Legacy,Unit,1500000.0,14114.911317670245,799,2012.0,Unknown / Mixed
Dubai Marina,ORRA MARINA,Early Growth,Unit,2253689.0,17268.850677736158,34,2014.0,Unknown / Mixed
Dubai Marina,ORRA MARINA,Maturity,Unit,1750855.5,14305.655341449989,116,2016.0,Unknown / Mixed
Dubai Marina,ORRA MARINA,Off-Plan or Launch,Building,29918175.0,5858.084532303668,1,2008.0,Unknown / Mixed
Dubai Marina,ORRA MARINA,Off-Plan or Launch,Unit,902075.0,10139.95003102785,120,2009.0,Unknown / Mixed
Dubai Marina,ORRA MARINA,Stabilized / Legacy,Land,5208000.0,32410.224595203657,7,2021.0,Unknown / Mixed
Dubai Marina,ORRA MARINA,Stabilized / Legacy,Unit,1232711.0,13026.891920749094,254,2020.0,Unknown / Mixed
Dubai Marina,PARK ISLANDS,Early Growth,Unit,1340888.0,13140.8314453062,335,2012.0,Unknown / Mixed
Dubai Marina,PARK ISLANDS,Maturity,Unit,1587000.0,16045.0626036533,326,2014.0,Unknown / Mixed
Dubai Marina,PARK ISLANDS,Off-Plan or Launch,Unit,1100000.0,11775.509235752268,1212,2008.0,Unknown / Mixed
Dubai Marina,PARK ISLANDS,Stabilized / Legacy,Unit,1502996.0,15179.889288814426,481,2018.0,Unknown / Mixed
Dubai Marina,PRINCESS TOWER,Maturity,Building,42800000.0,23018.30170109552,1,2009.0,Unknown / Mixed
Dubai Marina,PRINCESS TOWER,Maturity,Unit,1352388.5,16596.33144176003,500,2009.0,Unknown / Mixed
Dubai Marina,PRINCESS TOWER,Off-Plan or Launch,Building,80000000.0,23018.270752409724,1,2004.0,Unknown / Mixed
Dubai Marina,PRINCESS TOWER,Stabilized / Legacy,Land,19399000.0,101746.48518168872,2,2017.0,Unknown / Mixed
Dubai Marina,PRINCESS TOWER,Stabilized / Legacy,Unit,1472461.0,13392.830830346333,1526,2012.0,Unknown / Mixed
Dubai Marina,ROVE HOME DUBAI MARINA,Early Growth,Unit,1567500.0,38109.56679800223,376,2025.0,Unknown / Mixed
Dubai Marina,ROVE HOME DUBAI MARINA,Off-Plan or Launch,Land,135000000.0,22280.56125179117,4,2016.0,Unknown / Mixed
Dubai Marina,ROYAL OCEANIC TOWER,Early Growth,Unit,925000.0,12682.782580931416,89,2012.0,Unknown / Mixed
Dubai Marina,ROYAL OCEANIC TOWER,Maturity,Unit,1260000.0,16646.451965505606,79,2014.0,Unknown / Mixed
Dubai Marina,ROYAL OCEANIC TOWER,Off-Plan or Launch,Unit,998240.0,12336.842618497403,347,2009.0,Unknown / Mixed
Dubai Marina,ROYAL OCEANIC TOWER,Stabilized / Legacy,Unit,1100000.0,12905.283015759189,144,2018.0,Unknown / Mixed
Dubai Marina,SILVERENE,Early Growth,Unit,1500000.0,21011.06479141752,173,2014.0,Unknown / Mixed
Dubai Marina,SILVERENE,Maturity,Unit,1498844.5,19375.085509945293,150,2016.0,Unknown / Mixed
Dubai Marina,SILVERENE,Off-Plan or Launch,Unit,981000.0,13188.589220294456,949,2009.0,Unknown / Mixed
Dubai Marina,SILVERENE,Stabilized / Legacy,Unit,1500000.0,19331.578474201156,260,2020.0,Unknown / Mixed
Dubai Marina,SKY VIEW TOWER,Early Growth,Unit,1113000.0,13446.182517933978,76,2010.0,Unknown / Mixed
Dubai Marina,SKY VIEW TOWER,Maturity,Unit,1300000.0,15295.8843156417,117,2011.0,Unknown / Mixed
Dubai Marina,SKY VIEW TOWER,Off-Plan or Launch,Villa,88421560.0,27066.38831408945,2,2007.0,Unknown / Mixed
Dubai Marina,SKY VIEW TOWER,Stabilized / Legacy,Unit,1289284.0,13304.859144407012,207,2015.0,Unknown / Mixed
Dubai Marina,SPARKLE TOWERS,Early Growth,Unit,1855000.0,15721.655284556047,135,2021.0,Unknown / Mixed
Dubai Marina,SPARKLE TOWERS,Maturity,Unit,1800000.0,21839.517888312963,119,2023.0,Unknown / Mixed
Dubai Marina,SPARKLE TOWERS,Off-Plan or Launch,Building,85718825.0,13802.508864191885,1,2008.0,Unknown / Mixed
Dubai Marina,SPARKLE TOWERS,Off-Plan or Launch,Unit,1322859.5,17795.941784745224,228,2015.0,Unknown / Mixed
Dubai Marina,STELLA MARIS,Maturity,Building,129000000.0,36966.60850452992,3,2010.0,Unknown / Mixed
Dubai Marina,STELLA MARIS,Off-Plan or Launch,Building,71436000.0,21527.8259113826,1,2006.0,Unknown / Mixed
Dubai Marina,STELLA MARIS,Stabilized / Legacy,Unit,2742835.0,21055.434806236142,386,2021.0,Unknown / Mixed
Dubai Marina,SULAFA TOWER,Early Growth,Building,75000000.0,21426.673637477823,1,2008.0,Unknown / Mixed
Dubai Marina,SULAFA TOWER,Maturity,Unit,1371420.0,13130.52334146208,789,2009.0,Unknown / Mixed
Dubai Marina,SULAFA TOWER,Off-Plan or Launch,Building,73000000.0,15808.123661428084,3,2005.0,Unknown / Mixed
Dubai Marina,SULAFA TOWER,Stabilized / Legacy,Unit,1200000.0,12144.7032323679,700,2013.0,Unknown / Mixed
Dubai Marina,Six Senses Residences Dubai Marina,Early Growth,Building,200000000.0,57137.79636660753,1,2008.0,Unknown / Mixed
Dubai Marina,Six Senses Residences Dubai Marina,Maturity,Building,200000000.0,57137.79636660753,1,2013.0,Unknown / Mixed
Dubai Marina,Six Senses Residences Dubai Marina,Off-Plan or Launch,Building,169000000.0,48281.43792978336,2,2006.0,Unknown / Mixed
Dubai Marina,Six Senses Residences Dubai Marina,Stabilized / Legacy,Building,280000000.0,79992.91491325054,2,2021.0,Unknown / Mixed
Dubai Marina,Six Senses Residences Dubai Marina,Stabilized / Legacy,Unit,8911155.0,37310.56074380434,104,2024.0,Unknown / Mixed
Dubai Marina,Studio One,Early Growth,Unit,1050000.0,19021.62009349564,135,2022.0,Unknown / Mixed
Dubai Marina,Studio One,Maturity,Unit,1171911.0,21089.439105018864,80,2024.0,Unknown / Mixed
Dubai Marina,Studio One,Off-Plan or Launch,Building,58125600.0,9753.222934980862,1,2008.0,Unknown / Mixed
Dubai Marina,Studio One,Off-Plan or Launch,Unit,816000.0,15849.932291434774,433,2016.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Early Growth,Land,4451069.0,250535.82001404703,3,2018.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Early Growth,Unit,1443684.0,31416.29407561797,113,2018.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Maturity,Unit,1195000.0,27526.12344442813,159,2020.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Off-Plan or Launch,Building,40444750.0,6437.233206110515,2,2008.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Off-Plan or Launch,Land,35009115.0,204063.3889018419,1,2017.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Off-Plan or Launch,Unit,1473066.0,36049.581003572486,181,2013.0,Unknown / Mixed
Dubai Marina,TFG MARINA,Stabilized / Legacy,Unit,901773.5,22801.393808494584,22,2024.0,Unknown / Mixed
Dubai Marina,TFG ONE HOTEL,Maturity,Building,77000000.0,18398.648535634835,2,2013.0,Unknown / Mixed
Dubai Marina,TFG ONE HOTEL,Off-Plan or Launch,Building,50000000.0,10513.513448934193,3,2007.0,Unknown / Mixed
Dubai Marina,TFG ONE HOTEL,Stabilized / Legacy,Building,15624218.0,3733.305138001811,1,2017.0,Unknown / Mixed
Dubai Marina,TFG ONE HOTEL,Stabilized / Legacy,Unit,1790425.0,42921.952104005824,378,2016.0,Unknown / Mixed
Dubai Marina,THE ATLANTIC,Early Growth,Unit,1250000.0,13537.083291494842,7,2016.0,Unknown / Mixed
Dubai Marina,THE ATLANTIC,Maturity,Unit,1712105.0,10763.965573908015,19,2018.0,Unknown / Mixed
Dubai Marina,THE ATLANTIC,Off-Plan or Launch,Unit,1597812.5,11753.619208024364,134,2011.0,Unknown / Mixed
